frequency	Tmag	Tphase
1	61.5064879	-0.421092516
1.12201845	61.5064272	-0.472471372
1.25892541	61.5063507	-0.530118487
1.41253754	61.5062545	-0.594798331
1.58489319	61.5061333	-0.667368498
1.77827941	61.5059808	-0.748791003
1.99526231	61.5057887	-0.840144941
2.23872114	61.505547	-0.942640637
2.51188643	61.5052427	-1.05763549
2.81838293	61.5048596	-1.18665164
3.16227766	61.5043773	-1.33139576
3.54813389	61.5037703	-1.49378101
3.98107171	61.5030063	-1.67595157
4.46683592	61.5020446	-1.88030977
5.01187234	61.5008341	-2.10954624
5.62341325	61.4993108	-2.36667304
6.30957344	61.4973938	-2.65506005
7.07945784	61.4949816	-2.97847471
7.94328235	61.4919467	-3.34112495
8.91250938	61.4881291	-3.74770502
10	61.4833277	-4.2034439
11.2201845	61.4772907	-4.71415506
12.5892541	61.4697025	-5.28628618
14.1253754	61.4601683	-5.92696638
15.8489319	61.4481951	-6.64404743
17.7827941	61.4331686	-7.44613381
19.9526231	61.4143249	-8.34259441
22.3872114	61.3907178	-9.34354604
25.1188643	61.3611795	-10.4597955
28.1838293	61.3242764	-11.7027232
31.6227766	61.2782597	-13.0840868
35.4813389	61.2210128	-14.6157194
39.8107171	61.15	-16.3090949
44.6683592	61.0622201	-18.1747329
50.1187234	60.9541764	-20.2214229
56.2341325	60.8218712	-22.4552658
63.0957344	60.660843	-24.8785582
70.7945784	60.4662578	-27.4885936
79.4328235	60.2330702	-30.276509
89.1250938	59.9562587	-33.2263659
100	59.6311272	-36.3146929
112.201845	59.2536479	-39.5107092
125.892541	58.8208014	-42.7773727
141.253754	58.3308602	-46.0732521
158.489319	57.7835609	-49.3550351
177.827941	57.1801315	-52.5803239
199.526231	56.5231668	-55.7102903
223.872114	55.8163786	-58.7118009
251.188643	55.0642693	-61.5587626
281.838293	54.2717836	-64.232625
316.227766	53.4439891	-66.7221384
354.813389	52.5858156	-69.0225692
398.107171	51.7018691	-71.1346052
446.683592	50.7963159	-73.0631544
501.187234	49.8728295	-74.8161895
562.341325	48.9345818	-76.4037292
630.957344	47.984267	-77.8369977
707.945784	47.0241425	-79.1277684
794.328235	46.0560797	-80.2878759
891.250938	45.0816167	-81.3288711
1000	44.102009	-82.2617909
1122.01845	43.1182758	-83.0970173
1258.92541	42.1312404	-83.8442006
1412.53754	41.1415663	-84.5122311
1584.89319	40.1497859	-85.1092417
1778.27941	39.156326	-85.6426334
1995.26231	38.161528	-86.1191129
2238.72114	37.1656645	-86.5447392
2511.88643	36.168953	-86.924973
2818.38293	35.1715669	-87.2647268
3162.27766	34.1736442	-87.5684146
3548.13389	33.1752949	-87.8399993
3981.07171	32.1766063	-88.0830292
4466.83592	31.1776482	-88.3007056
5011.87234	30.1784757	-88.4958991
5623.41325	29.1791329	-88.671175
6309.57344	28.1796547	-88.8288522
7079.45784	27.1800688	-88.9710039
7943.28235	26.1803972	-89.099512
8912.50938	25.1806574	-89.2160894
10000	24.1808633	-89.3222649
11220.1845	23.1810257	-89.4194561
12589.2541	22.1811535	-89.5089448
14125.3754	21.1812532	-89.5919208
15848.9319	20.1813304	-89.6694861
17782.7941	19.181389	-89.7426669
19952.6231	18.1814322	-89.8124309
22387.2114	17.1814623	-89.8797086
25118.8643	16.1814809	-89.9453909
28183.8293	15.1814889	-90.010348
31622.7766	14.181487	-90.075442
35481.3389	13.1814748	-90.1415378
39810.7171	12.1814517	-90.2095114
44668.3592	11.1814166	-90.2802649
50118.7234	10.1813676	-90.3547371
56234.1325	9.18130202	-90.4339157
63095.7344	8.1812164	-90.5188517
70794.5784	7.18110619	-90.6106706
79432.8235	6.18096552	-90.7105911
89125.0938	5.18078687	-90.8199386
100000	4.18056076	-90.9401624
112201.845	3.18027513	-91.0728567
125892.541	2.1799148	-91.2197798
141253.754	1.17946053	-91.382879
158489.319	0.178888233	-91.5643143
177827.941	-91.7664868	
199526.231	-91.9920718	
223872.114	-92.2440504	
251188.643	-92.5257506	
281838.293	-92.8408868	
316227.766	-93.1936084	
354813.389	-93.5885493	
398107.171	-94.0308861	
446683.592	-94.5263961	
501187.234	-95.0815259	
562341.325	-95.7034588	
630957.344	-96.400191	
707945.784	-97.1806057	
794328.235	-98.0545478	
891250.938	-99.0328955	
1000000	-100.127619	
1122018.45	-101.351821	
1258925.41	-102.719744	
1412537.54	-104.246722	
1584893.19	-105.949056	
1778279.41	-107.843756	
1995262.31	-109.948097	
2238721.14	-112.278879	
2511886.43	-114.851237	
2818382.93	-117.676756	
3162277.66	-120.760524	
3548133.89	-124.096529	
3981071.71	-127.660577	
4466835.92	-131.399465	
5011872.34	-135.214887	
5623413.25	-138.940568	
6309573.44	-142.313202	
7079457.84	-144.946331	
7943282.35	-146.342683	
8912509.38	-146.037203	
10000000	-143.993397	
11220184.5	-141.099314	
12589254.1	-139.004344	
14125375.4	-139.05191	
15848931.9	-141.582089	
17782794.1	-146.208827	
19952623.1	-152.326651	
22387211.4	-159.382256	
25118864.3	-166.959133	
28183829.3	-174.787513	
31622776.6	-182.724324	
35481338.9	-190.715983	
39810717.1	-198.756996	
44668359.2	-206.857223	
50118723.4	-215.022561	
56234132.5	-223.246354	
63095734.4	-231.507011	
70794578.4	-239.768639	
79432823.5	-247.983209	
89125093.8	-256.093689	
100000000	-264.037878	
112201845	-271.752628	
125892541	-279.178046	
141253754	-286.261257	
158489319	-292.959297	
177827941	-299.240892	
199526231	-305.087031	
223872114	-310.490444	
251188643	-315.454257	
281838293	-319.990149	
316227766	-324.116315	
354813389	-327.855511	
398107171	-331.233312	
446683592	-334.276687	
501187234	-337.012887	
562341325	-339.468635	
630957344	-341.669565	
707945784	-343.639863	
794328235	-345.402066	
891250938	-346.976971	
1000000000	-348.383628	
1122018450	-349.639384	
1258925410	-350.759963	
1412537540	-351.759567	
1584893190	-352.650984	
1778279410	-353.445706	
1995262310	-354.15404	
2238721140	-354.785214	
2511886430	-355.347484	
2818382930	-355.848225	
3162277660	-356.294022	
3548133890	-356.690747	
3981071710	-357.043635	
4466835920	-357.357347	
5011872340	-357.636031	
5623413250	-357.883374	
6309573440	-358.102653	
7079457840	-358.296772	
7943282350	-358.468305	
8912509380	-358.619528	
10000000000	-358.752449	
11220184500	-358.868835	
12589254100	-358.970236	
14125375400	-359.058006	
15848931900	-359.133323	
17782794100	-359.197204	
19952623100	-359.250523	
22387211400	-359.294022	
25118864300	-359.328332	
28183829300	-359.353979	
31622776600	-359.371404	
35481338900	-359.380981	
39810717100	-359.383033	
44668359200	-359.377862	
50118723400	-359.365778	
56234132500	-359.347145	
63095734400	-359.322429	
70794578400	-359.292271	
79432823500	-359.257567	
89125093800	-359.219572	
100000000000	-359.179999	
112201845000	-359.141121	
125892541000	-359.105824	
141253754000	-359.077568	
158489319000	-359.060151	
177827941000	-359.057167	
199526231000	-359.070975	
223872114000	-359.101027	
251188643000	-359.141418	
281838293000	-359.177713	
316227766000	-359.183365	
354813389000	-359.116546	
398107171000	-358.918803	
446683592000	-358.517628	
501187234000	-357.835497	
562341325000	-356.807477	
630957344000	-355.40706	
707945784000	-353.674121	
794328235000	-351.731318	
891250938000	-349.772795	
1000000000000	-348.020538	
